public_qid,org_code2,subject_code2,year,month,number,options_count,examinee_count,correct_answer,correct_rate,choice_1_rate,choice_2_rate,choice_3_rate,choice_4_rate,choice_5_rate,source_name,source_item_id,source_url,fetched_at,notes
010120261101,01,01,2026,11,1,5,,3,90.0,2.0,2.0,90.0,2.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261102,01,01,2026,11,2,5,,5,89.0,2.0,4.0,2.0,3.0,89.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261103,01,01,2026,11,3,5,,4,69.0,3.0,6.0,17.0,69.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261104,01,01,2026,11,4,5,,1,75.0,75.0,8.0,8.0,6.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261105,01,01,2026,11,5,5,,4,68.0,4.0,11.0,14.0,68.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261106,01,01,2026,11,6,5,,2,35.0,6.0,35.0,12.0,31.0,15.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261107,01,01,2026,11,7,5,,5,45.0,5.0,16.0,14.0,20.0,45.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261108,01,01,2026,11,8,5,,3,49.0,7.0,16.0,49.0,18.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261109,01,01,2026,11,9,5,,5,88.0,2.0,3.0,4.0,3.0,88.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261110,01,01,2026,11,10,5,,5,59.0,4.0,11.0,13.0,13.0,59.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261111,01,01,2026,11,11,5,,3,47.0,8.0,12.0,47.0,22.0,11.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261112,01,01,2026,11,12,5,,1,25.0,25.0,20.0,28.0,21.0,7.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261113,01,01,2026,11,13,5,,1,82.0,82.0,4.0,4.0,7.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261114,01,01,2026,11,14,5,,5,56.0,3.0,8.0,12.0,20.0,56.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261115,01,01,2026,11,15,5,,1,36.0,36.0,12.0,19.0,11.0,21.0,Megastudy,,,2026-02-02T02:39:16Z,
